HORA,IDADE,SEXO,TIPO,ARMA,CIDADE
0,24,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
11,56,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARAGOGI
19,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
21,17,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARECHAL DEODORO
23,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,DELMIRO GOUVEIA
1,75,MASCULINO,HOMICÍDIO DOLOSO,OUTROS,SANTANA DO IPANEMA
19,43,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO SEBASTIÃO
4,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
8,21,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,CORURIPE
18,70,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO MIGUEL DOS CAMPOS
0,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,MURICI
5,51,MASCULINO,HOMICÍDIO DOLOSO,ATROPELADO,MESSIAS
11,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATA GRANDE
11,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATA GRANDE
11,53,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATA GRANDE
21,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
6,3,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,ARAPIRACA
13,19,FEMININO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
19,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
0,16,FEMININO,HOMICÍDIO DOLOSO,PAF,NOVO LINO
0,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,NOVO LINO
1,19,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,ARAPIRACA
5,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,JAPARATINGA
12,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
17,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,BARRA DE SANTO ANTÔNIO
22,26,FEMININO,FEMINICÍDIO,PAF,SANTANA DO IPANEMA
22,56,MASCULINO,HOMICÍDIO DOLOSO,PAF,SANTANA DO IPANEMA
13,59,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,COITÉ DO NÓIA
19,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,POÇO DAS TRINCHEIRAS
22,36,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
0,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAMPO ALEGRE
10,43,MASCULINO,HOMICÍDIO DOLOSO,PAF,BRANQUINHA
21,33,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,CAMPO ALEGRE
22,50,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
13,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
14,15,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
16,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
17,31,MASCULINO,HOMICÍDIO DOLOSO,PAF,PENEDO
20,40,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
2,30,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,FLEXEIRAS
3,26,MASCULINO,HOMICÍDIO DOLOSO,ASFIXIA MECÂNICA,MACEIÓ
12,48,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,TEOTÔNIO VILELA
16,16,FEMININO,HOMICÍDIO DOLOSO,PAF,GIRAU DO PONCIANO
18,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
5,17,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,BOCA DA MATA
18,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,CRAÍBAS
22,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAMPO GRANDE
4,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
13,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,IGREJA NOVA
16,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,PORTO CALVO
17,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
21,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
21,36,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
2,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,PENEDO
6,17,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,ATALAIA
13,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,GIRAU DO PONCIANO
15,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,26,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
22,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
14,26,MASCULINO,HOMICíDIO DOLOSO,PAF,SÃO SEBASTIÃO
18,20,MASCULINO,HOMICíDIO DOLOSO,PAF,SÃO SEBASTIÃO
22,38,MASCULINO,HOMICíDIO DOLOSO,PAF,ARAPIRACA
0,56,MASCULINO,HOMICíDIO DOLOSO,BRANCA,ARAPIRACA
