HORA,IDADE,SEXO,TIPO,ARMA,CIDADE
19,20,MASCULINO,HOMICíDIO DOLOSO,PAF,UNIÃO DOS PALMARES
20,20,MASCULINO,HOMICíDIO DOLOSO,PAF,UNIÃO DOS PALMARES
21,15,MASCULINO,HOMICíDIO DOLOSO,PAF,ARAPIRACA
2,52,MASCULINO,HOMICíDIO DOLOSO,PAF,PILAR
4,15,MASCULINO,HOMICíDIO DOLOSO,PAF,IGACI
6,20,MASCULINO,HOMICíDIO DOLOSO,PAF,UNIÃO DOS PALMARES
23,14,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
1,49,MASCULINO,HOMICíDIO DOLOSO,ESPANCADO,UNIÃO DOS PALMARES
6,32,FEMININO,HOMICíDIO DOLOSO,PAF,MACEIÓ
9,25,MASCULINO,HOMICíDIO DOLOSO,PAF,CAMPO GRANDE
16,22,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
21,21,MASCULINO,HOMICíDIO DOLOSO,PAF,RIO LARGO
22,29,MASCULINO,HOMICíDIO DOLOSO,ESPANCADO,MACEIÓ
0,28,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
0,24,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
0,36,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
5,27,MASCULINO,HOMICíDIO DOLOSO,BRANCA,PALMEIRA DOS ÍNDIOS
17,16,FEMININO,HOMICíDIO DOLOSO,PAF,MACEIÓ
19,19,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
1,27,MASCULINO,HOMICíDIO DOLOSO,PAF,BATALHA
4,39,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
14,26,MASCULINO,HOMICíDIO DOLOSO,PAF,PALMEIRA DOS ÍNDIOS
17,43,MASCULINO,HOMICíDIO DOLOSO,BRANCA,SÃO LUÍS DO QUITUNDE
18,21,MASCULINO,HOMICíDIO DOLOSO,PAF,UNIÃO DOS PALMARES
18,16,MASCULINO,HOMICíDIO DOLOSO,PAF,UNIÃO DOS PALMARES
20,15,MASCULINO,HOMICíDIO DOLOSO,PAF,RIO LARGO
22,23,MASCULINO,HOMICíDIO DOLOSO,PAF,SANTA LUZIA DO NORTE
22,48,MASCULINO,HOMICÍDIO DOLOSO,PAF,CRAÍBAS
1,14,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SANTANA DO MUNDAÚ
4,18,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MESSIAS
4,23,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,IGACI
8,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
11,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA TAPERA
21,50,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
22,30,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,GIRAU DO PONCIANO
23,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARECHAL DEODORO
0,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
6,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
7,34,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,BOCA DA MATA
8,34,FEMININO,FEMINICÍDIO,BRANCA,MURICI
1,18,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,VIÇOSA
16,29,MASCULINO,HOMICÍDIO DOLOSO,PAF,TRAIPU
16,43,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
5,31,MASCULINO,HOMICÍDIO DOLOSO,PAF,FLEXEIRAS
9,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
12,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
17,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA LAJE
19,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,DOIS RIACHOS
16,16,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARECHAL DEODORO
21,58,FEMININO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
21,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
11,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARECHAL DEODORO
11,36,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARECHAL DEODORO
16,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
16,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATRIZ DE CAMARAGIB
17,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAMPO ALEGRE
3,12,FEMININO,FEMINICÍDIO,PAF,MACEIÓ
5,26,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
6,39,MASCULINO,HOMICÍDIO DOLOSO,PAF,OLHO D ÁGUA GRANDE
6,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,MURICI
17,46,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
22,25,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,ATALAIA
1,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
13,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
14,23,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,BRANQUINHA
17,39,MASCULINO,HOMICÍDIO DOLOSO,PAF,MESSIAS
22,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
2,19,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
5,24,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
9,39,FEMININO,FEMINICÍDIO,BRANCA,CARNEIROS
19,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
22,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
7,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
12,32,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,BARRA DE SÃO MIGUEL
13,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,COQUEIRO SECO
13,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
14,55,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,66,MASCULINO,HOMICÍDIO DOLOSO,PAF,OLHO D ÁGUA GRANDE
19,40,MASCULINO,HOMICÍDIO DOLOSO,PAF,OLHO D ÁGUA GRANDE
23,20,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,VIÇOSA
12,42,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SANTANA DO MUNDAÚ
15,14,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
16,35,FEMININO,HOMICÍDIO DOLOSO,BRANCA,MESSIAS
18,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
19,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,GIRAU DO PONCIANO
8,22,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,PORTO CALVO
8,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
14,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
14,43,MASCULINO,HOMICÍDIO DOLOSO,PAF,PINDOBA
19,38,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
20,16,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
20,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
20,18,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
20,49,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
4,14,FEMININO,HOMICÍDIO DOLOSO,PAF,ATALAIA
16,36,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,ARAPIRACA
22,15,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
23,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAPELA
17,39,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
21,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
23,67,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
14,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA LAJE
18,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,PAULO JACINTO
20,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
21,37,MASCULINO,HOMICÍDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
0,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
9,50,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
12,44,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
7,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,ANADIA
9,64,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARAGOGI
12,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
15,47,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,UNIÃO DOS PALMARES
21,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA LAJE
21,21,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,PILAR
1,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,CHÃ PRETA
17,15,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARIBONDO
17,10,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARIBONDO
17,42,MASCULINO,HOMICÍDIO DOLOSO,PAF,IGACI
19,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
7,31,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO BRÁS
14,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,JUNQUEIRO
21,69,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
23,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,CRAÍBAS
23,46,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,MACEIÓ
6,33,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,CAJUEIRO
20,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,IGREJA NOVA
12,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA TAPERA
12,51,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
14,33,FEMININO,HOMICÍDIO DOLOSO,PAF,SATUBA
21,32,MASCULINO,HOMICÍDIO DOLOSO,ESPANCAMENTO,PILAR
22,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,IGACI
2,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
8,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
11,25,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
21,47,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,JOAQUIM GOMES
6,28,FEMININO,FEMINICÍDIO,BRANCA,UNIÃO DOS PALMARES
7,55,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,ANADIA
7,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,FLEXEIRAS
7,43,MASCULINO,HOMICÍDIO DOLOSO,PAF,FLEXEIRAS
18,36,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
2,51,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,MACEIÓ
6,34,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,RIO LARGO
19,54,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,MACEIÓ
2,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
18,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,DOIS RIACHOS
19,31,MASCULINO,HOMICÍDIO DOLOSO,PAF,PÃO DE AÇÚCAR
22,35,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,GIRAU DO PONCIANO
0,37,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
2,48,MASCULINO,HOMICÍDIO DOLOSO,PAF,CACIMBINHAS
14,62,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,MACEIÓ
18,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
22,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
22,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
4,23,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SÃO JOSÉ DA TAPERA
10,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
11,33,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
12,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
14,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
14,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
16,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATRIZ DE CAMARAGIBE
19,20,FEMININO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
18,17,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,MACEIÓ
5,28,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,ARAPIRACA
11,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
12,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,IGACI
16,29,MASCULINO,HOMICÍDIO DOLOSO,PAF,MURICI
20,14,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
0,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
10,36,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,PENEDO
19,39,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,FEIRA GRANDE
22,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
0,52,MASCULINO,HOMICÍDIO DOLOSO,PAF,OLHO D ÁGUA DAS FLORES
6,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARECHAL DEODORO
16,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,SANTANA DO IPANEMA
16,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
21,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
15,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA TAPERA
22,18,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,MACEIÓ
0,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
1,38,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
18,46,MASCULINO,HOMICÍDIO DOLOSO,PAF,PORTO REAL DO COLÉGIO
22,68,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAJUEIRO
22,41,FEMININO,HOMICÍDIO DOLOSO,PAF,CAJUEIRO
3,44,FEMININO,FEMINICÍDIO,BRANCA,MACEIÓ
8,18,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARECHAL DEODORO
10,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
14,61,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,PENEDO
15,39,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
20,19,MASCULINO,HOMICÍDIO DOLOSO,BRANCAVIÇOSA,
21,16,FEMININO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
21,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
21,51,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,PIRANHAS
21,15,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
22,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
22,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
2,25,MASCULINO,HOMICÍDIO DOLOSO,ESPANCA,INHAPI
4,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
13,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA TAPERA
19,39,MASCULINO,HOMICÍDIO DOLOSO,PAF,ATALAIA
22,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
22,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
10,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA LAJE
13,17,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
21,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
22,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,PORTO REAL DO COLÉGIO
5,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,PALMEIRA DOS ÍNDIOS
10,29,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
12,36,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO SEBASTIÃO
12,36,MASCULINO,HOMICÍDIO DOLOSO,PAF,JEQUIÁ DA PRAIA
14,51,MASCULINO,HOMICÍDIO DOLOSO,PAF,MURICI
18,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,ÁGUA BRANCA
19,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,BATALHA
0,34,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,PORTO REAL DO COLÉGIO
1,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
2,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATA GRANDE
2,26,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATA GRANDE
19,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,DELMIRO GOUVEIA
4,63,FEMININO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
10,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,QUEBRANGULO
18,40,MASCULINO,HOMICÍDIO DOLOSO,PAF,LIMOEIRO DE ANADIA
20,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,SATUBA
12,23,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,PORTO CALVO
14,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
15,56,MASCULINO,HOMICÍDIO DOLOSO,PAF,CANAPI
16,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO LUÍS DO QUITUNDE
1,21,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
7,43,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATA GRANDE
16,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,COQUEIRO SECO
20,19,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARECHAL DEODORO
23,41,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
23,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
15,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
22,54,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
0,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,PIRANHAS
17,16,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
22,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
12,34,FEMININO,HOMICÍDIO DOLOSO,PAF,PILAR
19,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,15,MASCULINO,HOMICÍDIO DOLOSO,LINCHAMENT,MACEIÓ
13,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
13,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,VIÇOSA
0,38,MASCULINO,HOMICÍDIO DOLOSO,PAF,JOAQUIM GOMES
5,33,FEMININO,HOMICÍDIO DOLOSO,ESPANCADO,MATRIZ DE CAMARAGIBE
12,20,FEMININO,HOMICÍDIO DOLOSO,PAF,ATALAIA
15,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,IBATEGUARA
18,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
19,68,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA TAPERA
20,52,MASCULINO,HOMICÍDIO DOLOSO,PAF,FELIZ DESERTO
23,31,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,CHÃ PRETA
0,11,FEMININO,FEMINICÍDIO,BRANCA,QUEBRANGULO
2,43,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
4,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
8,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,OURO BRANCO
13,62,MASCULINO,HOMICÍDIO DOLOSO,PAF,FLEXEIRAS
16,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,CRAÍBAS
20,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,PENEDO
20,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
21,31,MASCULINO,HOMICÍDIO DOLOSO,PAF,BOCA DA MATA
22,21,FEMININO,ROUBO COM RESULTDO MORTE,PAF,ARAPIRACA
4,34,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,CACIMBINHAS
12,38,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
18,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,BOCA DA MATA
20,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,BOCA DA MATA
1,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,IBATEGUARA
1,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,IBATEGUARA
19,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
20,41,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
4,43,MASCULINO,HOMICÍDIO DOLOSO,PAF,JUNQUEIRO
11,37,MASCULINO,HOMICÍDIO DOLOSO,PAF,PÃO DE AÇÚCAR
16,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,IGREJA NOVA
10,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
16,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
22,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,PORTO REAL DO COLÉGIO
9,13,MASCULINO,HOMICÍDIO DOLOSO,PAF,VIÇOSA
19,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,BARRA DE SÃO MIGUEL
19,49,MASCULINO,HOMICÍDIO DOLOSO,PAF,BARRA DE SÃO MIGUEL
20,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,MURICI
20,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARECHAL DEODORO
21,19,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
22,57,MASCULINO,HOMICÍDIO DOLOSO,PAF,SANTANA DO IPANEMA
1,17,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MURICI
1,43,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARAGOGI
5,40,MASCULINO,HOMICÍDIO DOLOSO,PAF,NOVO LINO
7,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
10,19,MASCULINO,HOMICÍDIO DOLOSO,ASFIXIA MECÂN,CORURIPE
0,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,DELMIRO GOUVEIA
3,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
14,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,PALMEIRA DOS ÍNDIOS
16,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
18,29,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO MIGUEL DOS CAMPOS
19,20,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
20,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
20,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
22,45,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SÃO LUÍS DO QUITUNDE
22,19,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,CACIMBINHAS
23,25,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,ARAPIRACA
13,34,FEMININO,FEMINICÍDIO,BRANCA,PARIPUEIRA
14,37,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,ARAPIRACA
19,31,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MURICI
19,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
20,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
4,30,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,PARIPUEIRA
6,19,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
6,17,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
13,27,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
15,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAJUEIRO
17,24,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,ARAPIRACA
21,33,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
22,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
8,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,BATALHA
17,52,MASCULINO,HOMICÍDIO DOLOSO,PAF,BOCA DA MATA
19,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATA GRANDE
6,46,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,MACEIÓ
10,39,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,SÃO MIGUEL DOS CAMPOS
12,32,MASCULINO,HOMICÍDIO DOLOSO,ASFIXIA MECÂNICA,MACEIÓ
15,22,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,ARAPIRACA
15,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAPELA
15,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARECHAL DEODORO
18,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
23,27,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,OLHO D ÁGUA DO CASADO
16,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,ROTEIRO
19,30,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MACEIÓ
19,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
21,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,BOCA DA MATA
23,38,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SÃO JOSÉ DA TAPERA
20,19,FEMININO,FEMINICÍDIO,PAF,PORTO REAL DO COLÉGIO
22,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,SANTANA DO IPANEMA
2,29,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,MACEIÓ
2,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,BOCA DA MATA
16,15,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
